,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
0,0.6680141898792717,0.7458709539999973,0.5740425779999896,0.7556218572999995,0.7552812129999893,0.3157894736842105,0.3,0.3333333333333333,0.8421052631578948,0.8,0.8888888888888888,0.13333333333333333,0.125,0.14285714285714285,0.7999999999999999,0.75,0.8571428571428571,0.5326829850709714,0.7065412477463576,0.4274905840701877,0.6794128373907542,0.5796931892610456,0.8205681371594014,SALAMI,SALAMI_10
1,0.7087228992512257,0.12460317540816845,0.08099280070408099,1.46793649394,0.7526594599699967,0.6666666666666665,0.6,0.75,0.888888888888889,0.8,1.0,0.4,0.3333333333333333,0.5,0.8,0.6666666666666666,1.0,0.9889341996850262,0.9994579129649149,0.9786297944367284,0.9489658911127014,0.9289692676717364,0.9698423318981764,SALAMI,SALAMI_100
2,0.5831131817437545,0.4306752519999577,0.3749905522450092,0.4454879831000014,0.43808161754997954,0.6206896551724138,0.6,0.6428571428571429,0.9655172413793104,0.9333333333333333,1.0,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.9600000000000001,0.9230769230769231,1.0,0.952532143179185,0.966893439789912,0.9385912202648906,0.902702530084469,0.8841706446898627,0.9220278891367437,SALAMI,SALAMI_1000
3,0.7047580644013356,0.6580548000000022,0.6531699070000059,0.6663274863000055,0.6580548000000022,0.24999999999999994,0.23076923076923078,0.2727272727272727,0.9166666666666666,0.8461538461538461,1.0,0.09999999999999999,0.09090909090909091,0.1111111111111111,0.9,0.8181818181818182,1.0,0.4554411009413085,0.7617560456937212,0.3248239257528483,0.5588876676815437,0.43275138826174664,0.7888046188755449,SALAMI,SALAMI_1002
4,0.650734678806425,0.05235994099999175,0.05004963399998985,0.05235994099999175,0.05553090499999769,0.8205128205128205,0.8421052631578947,0.8,0.9743589743589743,1.0,0.95,0.7999999999999999,0.8235294117647058,0.7777777777777778,0.9714285714285714,1.0,0.9444444444444444,0.5233198424959972,0.35745788182424876,0.97635065136029,0.7473852332723958,0.9459864280678483,0.6177039425302686,SALAMI,SALAMI_1004
5,0.5727524754477779,0.27621347410000396,0.2661904061999998,0.28145792399999436,0.28145792399999436,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,1.0,1.0,1.0,0.7482266667174512,0.826064163807217,0.6837947782581353,0.818936588228614,0.7774218965744332,0.8651352118014354,SALAMI,SALAMI_1006
6,0.6550228972107824,0.6615512633999989,0.4317695654999797,0.7757494508999931,0.7757494508999931,0.375,0.375,0.375,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.9822596111072667,0.9924640704939682,0.9722628594290883,0.9664076267976043,0.9566367270758644,0.9763801822948812,SALAMI,SALAMI_1008
7,0.5894263672814065,0.19845728420000341,0.1930715226999986,0.23594060450000143,0.21719894435000242,0.8275862068965518,0.8,0.8571428571428571,0.9655172413793104,0.9333333333333333,1.0,0.8,0.7692307692307693,0.8333333333333334,0.9600000000000001,0.9230769230769231,1.0,0.598929349461122,0.598680452502637,0.599178453459812,0.6811180290560802,0.669316017417777,0.693343719817524,SALAMI,SALAMI_1010
8,0.5998393443032317,0.4046524844999908,0.39473671900000795,0.5046678953450003,0.6024943486899996,0.5517241379310344,0.5714285714285714,0.5333333333333333,0.9655172413793104,1.0,0.9333333333333333,0.48000000000000004,0.5,0.46153846153846156,0.9600000000000001,1.0,0.9230769230769231,0.6683894041415264,0.7119964692228476,0.6298156033017699,0.7378753717310897,0.6800728085222347,0.8064164728619407,SALAMI,SALAMI_1012
9,0.6496937849663259,0.8773896204999971,0.8744285311500093,0.8790462499999876,0.8854403159999933,0.17391304347826086,0.18181818181818182,0.16666666666666666,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.0,0.0,0.0,0.8421052631578948,0.8888888888888888,0.8,0.4901171796152089,0.4941351875891675,0.48616398860206717,0.6441934181900226,0.6006109475539412,0.69459576186834,SALAMI,SALAMI_1014
